ActualPower;Max Capacity;Location 2;Location 4;Location 6;Location 8
8.491;43.5;0.718;0.97;0.874;0.902
11.232;43.5;0.776;1.072;0.975;0.985
8.989;43.5;0.862;1.24;1.122;1.103
5.969;43.5;0.984;1.448;1.296;1.23
4.637;43.5;1.116;1.627;1.44;1.308
4.408;43.5;1.227;1.733;7.19692380952381;1.316
3.219;43.5;1.279;1.752;1.517;1.269
2.512;43.5;1.306;1.736;1.505;1.219
1.304;43.5;1.328;1.711;1.502;1.192
1.193;43.5;1.351;1.671;1.499;1.173
0.851;43.5;1.372;1.613;1.49;1.153
0.778;43.5;1.389;1.544;1.478;1.132
0.826;43.5;1.4;1.482;1.463;1.109
0.184;43.5;1.404;1.443;1.453;1.085
0.259;42.0;1.02;1.214;1.098;0.756
1.323;42.0;0.959;1.098;0.97;0.728
1.508;42.0;0.935;1.025;0.875;0.712
1.253;42.0;0.892;0.971;0.804;0.691
1.776;42.0;0.816;0.895;0.734;0.655
2.714;42.0;0.761;0.825;0.682;0.595
3.682;42.0;0.753;0.812;0.67;0.549
4.631;42.0;0.782;0.842;0.685;0.542
5.409;42.0;7.445636075949367;0.902;0.731;0.572
5.162;42.0;0.941;1.004;0.821;0.629
4.888;42.0;1.026;1.099;0.919;0.697
5.087;42.0;1.098;1.181;1.012;0.767
4.854;42.0;1.184;1.281;1.118;0.848
6.941;42.0;1.285;1.394;1.234;0.945
10.3;42.0;1.391;1.511;1.364;1.075
13.021;42.0;1.515;1.644;1.519;1.238
13.137;43.5;1.659;1.792;1.688;1.413
14.064;43.5;1.822;1.952;1.864;1.593
20.444;43.5;2.006;2.125;2.052;1.783
27.656;43.5;2.203;2.308;2.253;1.997
30.017;43.5;2.401;2.495;2.456;2.22
28.971;43.5;2.616;2.708;2.681;2.46
28.269;43.5;2.885;2.999;2.972;2.754
25.42;43.5;3.244;3.405;3.355;3.116
24.701;45.0;3.714;3.935;3.859;3.586
22.996;45.0;4.314;4.574;4.462;4.152
20.521;45.0;4.975;5.255;5.117;4.795
18.498;45.0;5.713;5.976;5.864;5.453
18.506;45.0;6.346;6.575;6.505;5.985
17.923;45.0;6.837;7.029;6.992;6.442
17.218;45.0;7.165;7.322;7.34;6.922
20.13;45.0;7.408;7.556;7.659;7.404
21.518;45.0;7.687;7.82;8.001;7.763
20.307;43.5;8.005;8.104;8.299;7.882
21.974;43.5;8.261;8.338;8.489;7.873
22.164;43.5;8.436;8.491;8.58;7.856
21.782;43.5;8.571;8.58;8.65;7.903
23.867;43.5;9.029;8.848;9.069;8.876
20.124;43.5;9.124;8.967;9.134;8.82
15.209;43.5;9.224;9.058;9.154;8.681
11.942;43.5;9.28;9.098;9.197;8.624
10.465;43.5;9.403;9.202;9.349;8.737
8.018;43.5;9.545;9.302;9.462;8.828
6.621;43.5;9.656;9.37;9.561;8.934
9.721;43.5;9.736;9.464;9.627;8.987
15.196;43.5;9.727;9.489;9.576;8.898
18.022;43.5;9.65;9.345;9.441;8.746
17.69;43.5;9.522;9.159;9.269;8.568
17.712;43.5;9.365;9.095;9.158;8.381
17.344;43.5;9.241;9.12;9.174;8.331
16.206;43.5;9.209;9.145;9.232;8.405
12.592;43.5;9.158;9.061;9.152;8.39
11.039;43.5;8.918;8.807;8.868;8.167
10.883;43.5;8.491;8.447;8.488;7.851
11.934;43.5;8.082;8.148;8.195;7.615
14.059;43.5;7.826;7.985;8.047;7.51
15.503;43.5;7.657;7.882;7.951;7.465
20.75;43.5;7.511;7.802;7.857;7.424
25.587;43.5;7.411;7.756;7.787;7.378
26.196;43.5;7.375;7.75;7.747;7.322
25.962;43.5;7.37;7.75;7.703;7.248
26.939;43.5;7.366;7.745;7.665;7.181
25.747;43.5;7.375;7.758;7.662;7.151
30.596;43.5;7.387;7.773;7.669;7.13
32.135;43.5;7.406;7.797;7.689;7.113
30.74;43.5;7.445;7.835;7.729;7.107
28.71;43.5;7.515;7.901;7.792;7.119
30.491;43.5;7.577;7.967;7.842;7.13
31.651;43.5;7.642;8.044;7.903;7.168
27.662;43.5;7.737;8.136;8.0;7.249
23.929;43.5;7.912;8.299;8.196;7.421
25.252;43.5;8.143;8.485;8.439;7.652
28.184;43.5;8.375;8.638;8.677;7.887
24.41;43.5;8.556;8.716;8.861;8.081
21.614;43.5;8.671;8.72;8.964;8.218
18.46;43.5;8.746;8.684;9.019;8.327
17.376;43.5;8.833;8.66;9.075;8.437
17.031;43.5;8.916;8.636;9.132;8.538
18.409;43.5;8.965;8.59;9.17;8.631
17.904;43.5;9.03;8.59;9.234;8.746
13.843;43.5;9.127;8.651;9.328;8.884
18.36;43.5;9.262;8.762;9.443;9.053
19.222;43.5;9.415;8.903;9.565;9.22
21.461;43.5;9.556;9.044;9.684;9.362
25.384;43.5;9.657;9.152;9.778;9.467
27.347;43.5;9.711;9.202;9.828;9.526
24.839;43.5;9.748;9.229;9.841;9.532
25.364;43.5;9.953;9.547;9.994;9.586
26.974;43.5;10.037;9.602;10.082;9.696
27.433;43.5;9.874;9.245;9.922;9.617
24.7;43.5;9.423;8.7;9.473;9.219
21.975;43.5;9.037;8.688;9.111;8.924
20.951;43.5;8.771;8.7;8.898;8.732
19.182;43.5;8.683;8.675;8.79;8.601
17.879;43.5;8.496;8.519;8.538;8.309
14.462;43.5;8.212;8.255;8.229;7.997
14.688;43.5;7.965;8.027;8.003;7.778
13.528;43.5;7.726;7.788;7.78;7.574
12.406;43.5;7.507;7.567;7.54;7.314
13.951;42.25;7.336;7.388;7.334;7.073
12.458;42.25;7.206;7.246;7.169;6.89
14.778;41.0;7.101;7.133;7.038;6.746
15.847;41.0;7.037;7.062;6.961;6.676
16.64;41.0;6.995;7.014;6.917;6.644
20.936;41.0;6.972;6.986;6.899;6.641
21.643;41.0;6.962;6.968;6.895;6.65
21.369;42.25;6.951;6.936;6.883;6.675
24.74;42.25;6.891;6.845;6.842;6.699
25.525;43.5;6.796;6.754;6.79;6.696
23.907;43.5;6.798;6.81;6.811;6.688
21.096;43.5;6.896;6.937;6.866;6.699
26.29;43.5;6.984;7.016;6.889;6.71
29.066;43.5;7.031;7.054;6.892;6.715
34.168;43.5;7.066;7.088;6.904;6.719
35.394;43.5;7.112;7.138;6.948;6.765
35.424;43.5;7.171;7.2;7.009;6.83
37.49;43.5;7.234;7.266;7.077;6.89
38.706;43.5;7.294;7.343;7.165;6.951
38.509;43.5;7.359;7.413;7.252;7.026
38.224;43.5;7.452;7.486;7.335;7.129
40.303;43.5;7.621;7.62;7.47;7.27
40.268;43.5;7.885;7.837;7.671;7.459
34.745;43.5;8.348;8.226;8.076;7.676
32.4;43.5;8.621;8.464;8.429;8.047
33.236;43.5;8.841;8.661;8.694;8.293
37.04;43.5;9.045;8.837;8.932;8.539
34.607;43.5;9.238;8.97;9.151;8.819
27.901;43.5;9.386;9.073;9.321;9.049
26.475;43.5;9.461;9.155;9.413;9.167
29.949;43.5;9.59;9.315;9.512;9.215
27.919;43.5;9.825;9.591;9.691;9.273
21.623;43.5;10.158;9.956;9.958;9.402
18.508;43.5;10.5;10.305;10.269;9.62
18.226;43.5;13.204;12.834;12.939;13.014
18.105;43.5;13.367;13.02;13.018;12.997
17.586;43.5;13.449;13.118;12.998;12.911
18.369;43.5;13.362;12.949;12.871;12.798
16.945;43.5;13.21;12.782;12.773;12.754
18.566;43.5;13.055;12.65;12.58;12.55
18.969;43.5;12.81;12.264;12.308;12.226
12.302;43.5;12.516;12.066;12.124;11.907
12.123;43.5;12.185;11.836;11.871;11.52
13.238;43.5;11.842;11.525;11.555;11.092
10.779;43.5;11.516;11.268;11.298;10.695
8.474;43.5;11.177;10.977;10.986;10.242
10.536;43.5;10.838;10.658;10.671;9.844
10.156;42.0;10.543;10.373;10.424;9.578
7.387;42.0;10.274;10.13;10.188;9.338
10.212;42.0;10.06;9.965;9.985;9.093
10.287;40.8;9.921;9.879;9.828;8.876
10.844;42.0;9.784;9.754;9.664;8.677
9.288;42.0;9.6;9.557;9.479;8.467
10.071;42.0;9.364;9.306;9.263;8.243
11.528;42.0;9.085;8.989;9.003;8.015
10.64;42.0;8.766;8.614;8.696;7.762
10.444;42.0;8.442;8.247;8.385;7.505
10.683;42.0;8.134;7.928;8.081;7.221
8.387;42.0;7.877;7.711;7.834;6.938
9.577;42.0;7.708;7.593;7.692;6.774
11.492;42.0;7.609;7.533;7.613;6.703
9.171;42.0;7.523;7.484;7.537;6.647
9.162;42.0;7.465;7.476;7.491;6.608
14.826;42.0;7.427;7.482;7.46;6.575
14.56;42.0;7.398;7.479;7.436;6.545
14.653;42.0;7.444;7.532;7.468;6.552
10.371;42.0;7.609;7.698;7.63;6.705
12.609;42.0;7.677;7.754;7.707;6.775
13.823;42.0;7.733;7.786;7.763;6.849
8.521;42.0;7.821;7.856;7.857;6.949
6.729;42.0;7.902;7.92;7.936;7.038
10.436;42.0;7.973;7.981;8.001;7.105
11.4;42.0;8.01;8.002;8.018;7.081
12.091;42.0;8.0;7.96;7.977;7.001
11.048;42.0;7.935;7.872;7.898;6.911
13.018;42.0;7.867;7.808;7.845;6.86
14.424;42.0;7.848;7.821;7.853;6.865
12.266;42.0;7.885;7.908;7.922;6.919
12.066;42.0;7.97;8.042;8.03;7.01
11.145;42.0;8.074;8.185;8.147;7.107
8.897;42.0;8.188;8.343;8.272;7.196
8.048;42.0;8.314;8.503;8.407;7.289
8.905;42.0;8.417;8.637;8.55;7.429
8.432;42.0;8.425;8.569;8.643;7.572
7.743;42.0;8.335;8.353;8.63;7.678
6.017;42.0;8.18;8.039;8.496;7.669
6.334;42.0;8.048;7.936;8.342;7.51
4.636;42.0;7.922;7.977;8.209;7.329
4.248;42.0;7.877;8.04;8.151;7.272
4.861;42.0;7.96;8.158;8.205;7.345
4.196;42.0;8.165;8.353;8.348;7.496
4.601;42.0;8.39;8.556;8.486;7.641
4.827;42.0;8.518;8.655;8.526;7.707
2.8;42.0;8.461;8.565;8.415;7.66
2.955;42.0;8.293;8.379;8.237;7.537
2.859;42.0;8.095;8.165;8.043;7.405
2.171;42.0;7.887;7.931;7.876;7.347
1.538;42.0;7.697;7.734;7.737;7.307
1.534;42.0;7.619;7.679;7.665;7.237
1.257;42.0;7.64;7.711;7.661;7.233
0.957;42.0;7.684;7.773;7.683;7.251
0.82;42.0;7.754;7.858;7.728;7.278
0.741;42.0;7.83;7.933;7.78;7.323
1.125;42.0;7.916;8.008;7.852;7.387
0.97;42.0;8.006;8.08;7.939;7.481
0.92;42.0;8.135;8.199;8.08;7.625
0.808;42.0;8.318;8.389;8.266;7.784
0.732;42.0;8.538;8.608;8.446;7.904
1.488;43.5;8.764;8.813;8.609;8.027
0.735;43.5;8.92;8.943;8.726;8.175
0.435;43.5;9.023;9.035;8.821;8.353
0.347;43.5;9.117;9.127;8.914;8.52
0.172;43.5;9.217;9.221;9.004;8.619
0.062;43.5;9.234;9.239;9.027;8.6
0.061;43.5;9.203;9.206;8.996;8.527
0.022;43.5;9.205;9.209;9.012;8.528
0.1;43.5;1.184;1.628;1.029;0.761
0.321;43.5;1.371;1.562;1.154;0.971
0.544;43.5;1.671;1.609;1.38;1.253
0.59;43.5;2.119;1.886;1.765;1.633
0.696;43.5;2.655;2.346;2.264;2.088
1.04;43.5;3.247;2.907;2.836;0.0
1.095;43.5;3.874;3.456;3.442;3.208
1.214;43.5;4.497;3.901;4.039;3.852
1.267;43.5;5.047;4.22;4.568;4.475
1.056;43.5;5.56;4.519;5.024;5.009
1.229;43.5;6.078;4.903;5.449;5.43
1.463;43.5;6.546;5.35;5.874;5.733
1.629;43.5;6.891;5.782;6.255;5.917
1.822;43.5;7.065;6.136;6.526;6.018
2.135;43.5;7.102;6.454;6.673;6.062
3.598;43.5;7.073;6.755;6.628;5.922
6.498;43.5;7.19;7.172;6.674;5.737
8.074;43.5;7.373;7.552;6.848;5.675
7.707;43.5;7.543;7.871;7.024;5.685
8.317;43.5;7.715;8.171;7.159;5.683
9.275;43.5;7.905;8.423;7.295;5.715
8.764;43.5;8.142;8.692;7.478;5.782
10.054;43.5;8.392;8.947;7.671;5.843
11.728;43.5;8.602;9.149;7.82;5.863
11.464;43.5;8.77;9.3;7.911;5.831
11.375;43.1132911392405;8.886;9.412;7.936;5.746
11.757;43.5;8.948;9.485;7.897;5.638
11.43;43.5;8.924;9.477;7.774;5.507
10.878;43.5;8.845;9.415;7.618;5.403
11.84;43.5;8.706;9.294;7.447;5.309
14.938;43.5;8.49;9.075;7.247;5.24
18.17;43.5;8.269;8.839;7.074;5.201
17.55;43.5;8.08;8.645;6.968;5.206
19.436;43.5;7.972;8.526;6.975;5.329
20.101;42.0;7.959;8.534;7.076;5.504
22.335;43.5;8.035;8.554;7.188;5.651
25.948;43.5;8.242;8.652;7.44;5.828
28.959;43.5;8.454;8.811;7.691;5.921
29.316;43.5;8.542;8.844;7.767;5.902
28.11;43.5;8.607;8.832;7.776;5.871
29.486;43.5;8.674;8.84;7.774;5.847
31.181;43.5;8.742;8.865;7.774;5.837
28.759;43.5;8.817;8.906;7.792;5.859
29.859;43.5;8.91;8.982;7.853;5.936
31.394;43.5;8.999;9.082;7.961;6.068
32.672;43.5;9.087;9.197;8.11;6.245
30.117;43.5;9.157;9.299;8.265;6.429
31.405;43.5;9.198;9.367;8.388;6.582
28.918;43.5;9.244;9.427;8.489;6.69
28.561;43.5;9.287;9.482;8.564;6.756
31.022;43.5;9.315;9.531;8.621;6.801
29.603;43.5;9.292;9.535;8.635;6.805
26.704;43.5;9.201;9.468;8.574;6.746
26.128;43.5;9.081;9.351;8.456;6.633
27.136;43.5;8.946;9.198;8.284;6.453
28.724;43.5;8.838;9.051;8.087;6.226
28.44;43.5;8.82;8.943;7.914;5.97
28.903;43.5;8.968;9.01;7.824;5.719
26.96;43.5;9.173;9.286;7.734;5.512
24.477;43.5;9.315;9.341;7.638;5.39
25.197;43.5;9.447;9.327;7.603;5.325
24.974;43.5;9.623;9.431;7.658;5.317
29.65;43.5;9.917;9.682;7.913;5.411
33.242;43.5;10.305;10.096;8.363;5.608
33.812;43.5;10.66;10.547;8.882;5.882
31.41;43.5;10.818;10.834;9.232;6.088
31.641;43.5;10.714;10.844;9.248;6.128
32.025;43.5;10.429;10.626;8.995;6.072
33.212;43.5;10.057;10.284;8.631;6.057
35.212;43.5;9.681;9.941;8.316;6.159
35.532;43.5;9.316;9.63;8.091;6.288
35.778;43.5;8.992;8.861;6.991;4.479
36.331;43.5;8.582;8.465;6.477;4.27
35.924;43.5;8.025;7.917;5.944;4.235
33.581;43.5;7.319;7.23;5.436;4.349
34.246;43.5;6.588;6.51;5.073;4.606
34.329;43.5;5.974;5.916;4.902;4.905
34.323;43.5;5.563;5.511;4.862;5.152
33.568;43.5;5.324;5.289;4.879;5.298
33.148;43.5;5.226;5.244;4.91;5.319
32.663;43.5;5.225;5.293;4.962;5.24
33.039;43.5;5.288;5.392;5.013;5.109
30.846;43.5;5.419;5.511;5.037;4.958
27.63;43.5;5.644;5.716;5.061;4.836
26.432;43.5;6.042;6.137;5.157;4.75
27.282;43.5;6.573;6.747;7.19692380952381;4.716
28.285;43.5;7.268;7.558;5.693;4.856
24.898;43.5;8.045;8.475;6.226;5.056
